component,memory_mb,memory_bytes,details
batch_size,32,32,Batch size used for profiling
gradient_accumulation_steps,4,4,Number of gradient accumulation steps (effective batch = 128)
parameters_total,255.41309356689453,267820040,
parameters_trainable,255.41309356689453,267820040,
optimizer_states_total,78.6728744506836,82494488,
optimizer_state_proj,35.69434356689453,37428232,
optimizer_state_exp_avg_low,21.251953125,22284288,
optimizer_state_exp_avg_sq_low,21.251953125,22284288,
optimizer_state_exp_avg,0.23731231689453125,248840,
optimizer_state_exp_avg_sq,0.23731231689453125,248840,
activations_total,1188.562744140625,1246298368,
gradients_total,255.41309356689453,267820040,
cuda_allocated_mb,888.47705078125,931635712,
cuda_reserved_mb,2302.0,2413821952,
cuda_active_mb,888.47705078125,931635712,
cuda_inactive_split_mb,115.52294921875,121134592,
cuda_peak_allocated_mb,2166.98095703125,2272244224,
cuda_peak_reserved_mb,2302.0,2413821952,
total_components,1778.0618057250977,1864432936,Sum of Parameters + Optimizer + Activations + Gradients
